Found 251 opportunities
Exchanges used: bitrue, kucoin, okx, gate, mexc

Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='VON/USDT', buy_price=2.519e-05, sell_price=342.02763, profit_pct=1357791206.073839, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='RAI/USDT', buy_price=0.3417413999999999, sell_price=11.058, profit_pct=3135.7800371860135, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='TST/USDT', buy_price=0.0010558, sell_price=0.0311688, profit_pct=2852.1500284144727, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='TST/USDT', buy_price=0.0010583, sell_price=0.03114882, profit_pct=2843.2882925446465, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='TST/USDT', buy_price=0.0010558, sell_price=0.0304, profit_pct=2779.3332070467895, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='TST/USDT', buy_price=0.0010583, sell_price=0.030299999999999997, profit_pct=2763.0823018047804, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='kucoin', symbol='NEIRO/USDT', buy_price=0.00026075, sell_price=0.0061, profit_pct=2239.4055608820713, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='okx', sell_exchange='kucoin', symbol='NEIRO/USDT', buy_price=0.0002608, sell_price=0.0061, profit_pct=2238.9570552147243, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='POLIS/USDT', buy_price=0.06091, sell_price=1.39995, profit_pct=2198.391068790018, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='POLIS/USDT', buy_price=0.06097090999999999, sell_price=1.39995, profit_pct=2196.094973816202, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='ORNJ/USDT', buy_price=0.003749, sell_price=0.06994, profit_pct=1765.5641504401174, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='ORNJ/USDT', buy_price=0.0037737699999999996, sell_price=0.06994, profit_pct=1753.3190946984053, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='WOLF/USDT', buy_price=2.1311289999999995e-06, sell_price=3.723e-05, profit_pct=1646.9613524099202, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='WXT/USDT', buy_price=0.002709, sell_price=0.038468493, profit_pct=1320.0255813953486, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='NEIRO/USDT', buy_price=0.0006564, sell_price=0.0061, profit_pct=829.3113954905547, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='kucoin', symbol='NEIRO/USDT', buy_price=0.0006635628999999999, sell_price=0.0061, profit_pct=819.2798452113584, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='DOT/BTC', buy_price=3.415e-05, sell_price=0.00027212, profit_pct=696.8374816983894, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='DOT/BTC', buy_price=3.421418e-05, sell_price=0.00027212, profit_pct=695.3427497020241, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='DOT/BTC', buy_price=3.425e-05, sell_price=0.00027212, profit_pct=694.5109489051096, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='ARC/USDT', buy_price=0.002901899, sell_price=0.01992, profit_pct=586.4470472611212, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='ARC/USDT', buy_price=0.002901899, sell_price=0.0197, profit_pct=578.8658047712894, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='RICE/USDT', buy_price=0.0185, sell_price=0.1106892, profit_pct=498.32, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='QI/USDT', buy_price=0.00148, sell_price=0.007599, profit_pct=413.44594594594594, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='QI/USDT', buy_price=0.00148, sell_price=0.007570000000000001, profit_pct=411.48648648648657, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='SYLO/USDT', buy_price=0.0001741, sell_price=0.0007710000000000001, profit_pct=342.8489373923033, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='SYLO/USDT', buy_price=0.00017507489999999998, sell_price=0.0007710000000000001, profit_pct=340.38294467110944, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='SYLO/USDT', buy_price=0.0001765, sell_price=0.0007710000000000001, profit_pct=336.82719546742214, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='BROCCOLI/USDT', buy_price=0.00715, sell_price=0.02571, profit_pct=259.5804195804196, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='BROCCOLI/USDT', buy_price=0.00715, sell_price=0.0256743, profit_pct=259.08111888111887, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='BROCCOLI/USDT', buy_price=0.00715, sell_price=0.02566, profit_pct=258.8811188811189, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='BEAM/USDT', buy_price=0.00804, sell_price=0.02428569, profit_pct=202.0608208955224, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='gate', symbol='BEAM/USDT', buy_price=0.00804, sell_price=0.02394, profit_pct=197.7611940298507, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='kucoin', symbol='XTM/USDT', buy_price=0.0019139119999999996, sell_price=0.005563, profit_pct=190.6612216235648, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='DUEL/USDT', buy_price=0.00044989999999999993, sell_price=0.001269, profit_pct=182.06268059568797, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='DUEL/USDT', buy_price=0.0004544539999999999, sell_price=0.001269, profit_pct=179.2361823198828, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='NEIRO/USDT', buy_price=0.00026075, sell_price=0.0006595398, profit_pct=152.93952061361452, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='okx', sell_exchange='mexc', symbol='NEIRO/USDT', buy_price=0.0002608, sell_price=0.0006595398, profit_pct=152.89102760736196, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='LOCUS/USDT', buy_price=0.01042, sell_price=0.0259, profit_pct=148.56046065259116, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='CHAT/USDT', buy_price=0.096, sell_price=0.22777200000000003, profit_pct=137.26250000000002, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='JAM/USDT', buy_price=3.555e-05, sell_price=8.15184e-05, profit_pct=129.30632911392408, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='JAM/USDT', buy_price=3.57e-05, sell_price=8.15184e-05, profit_pct=128.34285714285713, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='FIRE/USDT', buy_price=0.000386, sell_price=0.0008600000000000001, profit_pct=122.7979274611399, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='BTR/USDT', buy_price=0.034754, sell_price=0.0731268, profit_pct=110.41261437532373, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='gate', symbol='BTR/USDT', buy_price=0.034754, sell_price=0.07312, profit_pct=110.39304828221212, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='kucoin', symbol='BTR/USDT', buy_price=0.034754, sell_price=0.07309, profit_pct=110.30672728319043, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='gate', symbol='ZAP/USDT', buy_price=0.0015, sell_price=0.0031, profit_pct=106.66666666666667, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='MRLN/USDT', buy_price=0.012573560999999997, sell_price=0.02538, profit_pct=101.85212446975049, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='BTR/USDC', buy_price=0.03909, sell_price=0.07300692, profit_pct=86.76623177283193, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='MINT/USDT', buy_price=0.001841, sell_price=0.003345, profit_pct=81.69473112438892, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='GST/USDT', buy_price=0.002335, sell_price=0.0041, profit_pct=75.58886509635977, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='JAM/USDT', buy_price=3.555e-05, sell_price=6.207e-05, profit_pct=74.59915611814345, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='JAM/USDT', buy_price=3.57e-05, sell_price=6.207e-05, profit_pct=73.86554621848738, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='GST/USDT', buy_price=0.002335, sell_price=0.004050944999999999, profit_pct=73.48800856531048, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='CLV/USDT', buy_price=0.012258, sell_price=0.01728, profit_pct=40.969162995594715, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='okx', symbol='CLV/USDT', buy_price=0.012258, sell_price=0.01703, profit_pct=38.92967857725567, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='CLV/USDT', buy_price=0.012258, sell_price=0.01701297, profit_pct=38.79074889867841, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='DEFI/USDT', buy_price=0.0014734719999999998, sell_price=0.0018830000000000001, profit_pct=27.79340224992402, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='DEFI/USDT', buy_price=0.001474, sell_price=0.0018830000000000001, profit_pct=27.747625508819546, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='POLS/USDT', buy_price=0.16618602, sell_price=0.2, profit_pct=20.347066498132648, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='POLS/USDT', buy_price=0.1666, sell_price=0.2, profit_pct=20.048019207683083, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='POLS/USDT', buy_price=0.1679, sell_price=0.2, profit_pct=19.118522930315677, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='URO/USDT', buy_price=0.0009863, sell_price=0.001171, profit_pct=18.726553786880245, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='HAI/USDT', buy_price=0.006918, sell_price=0.008003, profit_pct=15.683723619543223, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='WHITE/USDT', buy_price=0.0002647, sell_price=0.00030579390000000004, profit_pct=15.524707215715928, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='HAI/USDT', buy_price=0.006931924999999999, sell_price=0.008003, profit_pct=15.451335667942173, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='HAI/USDT', buy_price=0.0069359999999999995, sell_price=0.008003, profit_pct=15.38350634371396, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='kucoin', symbol='XYM/USDT', buy_price=0.005575569999999999, sell_price=0.00621, profit_pct=11.378746926323247, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='PAIN/USDT', buy_price=1.194, sell_price=1.311, profit_pct=9.798994974874372, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='PAIN/USDT', buy_price=1.194, sell_price=1.308, profit_pct=9.547738693467346, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='TAOCAT/USDT', buy_price=0.00056, sell_price=0.00061, profit_pct=8.928571428571432, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='XYM/USDT', buy_price=0.005575569999999999, sell_price=0.006035, profit_pct=8.240054380090307, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='PBUX/USDT', buy_price=0.0009479, sell_price=0.00102, profit_pct=7.606287583078392, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='TAOCAT/USDT', buy_price=0.0005748, sell_price=0.00061, profit_pct=6.123869171885872, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='okx', symbol='ELF/USDT', buy_price=0.1624, sell_price=0.1721, profit_pct=5.972906403940896, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='MAK/USDT', buy_price=0.00445, sell_price=0.004699, profit_pct=5.59550561797753, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='ELF/USDT', buy_price=0.1624, sell_price=0.171, profit_pct=5.295566502463069, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='OGPU/USDT', buy_price=0.1311, sell_price=0.1379619, profit_pct=5.234096109839821, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='ELF/USDT', buy_price=0.1624, sell_price=0.1701297, profit_pct=4.759667487684733, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='ETHW/USDT', buy_price=1.3372, sell_price=1.4, profit_pct=4.696380496559974, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='kucoin', symbol='ESE/USDT', buy_price=0.006053047, sell_price=0.006336, profit_pct=4.674554815120382, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='okx', sell_exchange='bitrue', symbol='ETHW/USDT', buy_price=1.338, sell_price=1.4, profit_pct=4.633781763826594, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='ETHW/USDT', buy_price=1.3381, sell_price=1.4, profit_pct=4.625962185187942, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='ETHW/USDT', buy_price=1.3403389999999997, sell_price=1.4, profit_pct=4.451187348872203, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='PFVS/USDT', buy_price=0.00368, sell_price=0.0038400000000000005, profit_pct=4.347826086956533, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='DC/USDT', buy_price=2.02e-05, sell_price=2.105892e-05, profit_pct=4.252079207920797, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='BIFIF/USDT', buy_price=0.001205, sell_price=0.001256, profit_pct=4.23236514522822, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='SFUND/USDT', buy_price=0.23600000000000002, sell_price=0.245754, profit_pct=4.13305084745762, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='TRIBE/USDT', buy_price=0.5607, sell_price=0.5833161, profit_pct=4.033547351524884, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='NAKA/USDC', buy_price=0.1686, sell_price=0.1752246, profit_pct=3.9291814946619263, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='NODE/USDT', buy_price=0.06016, sell_price=0.06228, profit_pct=3.5239361702127723, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='RWA/USDT', buy_price=0.007777, sell_price=0.008031, profit_pct=3.2660408898032642, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='ALPH/USDT', buy_price=0.1606, sell_price=0.1658, profit_pct=3.237858032378587, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='kucoin', symbol='NODE/USDT', buy_price=0.06041034999999999, sell_price=0.06228, profit_pct=3.0949166823235004, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='XEM/USDT', buy_price=0.001843, sell_price=0.0019, profit_pct=3.092783505154638, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='ALPH/USDT', buy_price=0.1608607, sell_price=0.1658, profit_pct=3.0705448875952968, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='RWA/USDT', buy_price=0.007777, sell_price=0.008013978, profit_pct=3.047164716471643, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='kucoin', symbol='ESE/USDT', buy_price=0.00615, sell_price=0.006336, profit_pct=3.0243902439024315, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='UPO/USDT', buy_price=0.00358, sell_price=0.00368631, profit_pct=2.969553072625701, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='BEFI/USDT', buy_price=0.002784, sell_price=0.00286, profit_pct=2.7298850574712685, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='ISP/USDT', buy_price=0.0002618, sell_price=0.00026893079999999996, profit_pct=2.7237585943468074, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='RUNE/USDC', buy_price=1.125, sell_price=1.1552, profit_pct=2.684444444444445, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='NUM/USDT', buy_price=0.01207, sell_price=0.01239, profit_pct=2.6512013256006552, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='XEM/USDT', buy_price=0.001853, sell_price=0.0019, profit_pct=2.5364274150026955, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='SPA/USDT', buy_price=0.009291282, sell_price=0.00952, profit_pct=2.4616409231793956, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='ORBS/USDT', buy_price=0.01562, sell_price=0.016, profit_pct=2.4327784891165183, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='ARTFI/USDT', buy_price=0.003529, sell_price=0.003614, profit_pct=2.408614338339473, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='GTAI/USDT', buy_price=0.1022, sell_price=0.10465, profit_pct=2.39726027397261, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='XYM/USDT', buy_price=0.006065, sell_price=0.00621, profit_pct=2.3907666941467465, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='okx', symbol='PEPE/USDC', buy_price=9.104e-06, sell_price=9.319e-06, profit_pct=2.3615992970123076, buy_withdraw=True, sell_deposit=True)
